"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-12","7.83",,"0.00",,"0.0","0.0","79","89","70",,"  190","  190",,"16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-13","11.41",,"0.05",,"0.0","0.0","80","91","72",,"  250","  240",,"30.0","36.0",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-14","6.71",,"1.18",,"0.0","0.0","82","90","74",,"  250","  210",,"30.0","38.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-15","7.61",,"0.81",,"0.0","0.0","79","91","73",,"  180","  210",,"18.1","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-16","8.72",,"0.00",,"0.0","0.0","76","83","72",,"   10","  360",,"19.9","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-17","8.28",,"0.00",,"0.0","0.0","76","84","65",,"  290","  280",,"18.1","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-18","5.37",,"0.00",,"0.0","0.0","75","84","65",,"  330","  340",,"14.1","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-19","6.26",,"0.00",,"0.0","0.0","75","81","68",,"   90","  110",,"13.0","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-20","8.72",,"0.00",,"0.0","0.0","75","82","69",,"   80","   40",,"16.1","21.0",,,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-21","4.92",,"0.00",,"0.0","0.0","76","86","66",,"  190","  200",,"15.0","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-22","6.93",,"0.00",,"0.0","0.0","78","88","70",,"  200","  190",,"15.0","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-23","9.17",,"0.05",,"0.0","0.0","80","93","72",,"  300","  210",,"18.1","28.0",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-24","11.18",,"0.00",,"0.0","0.0","76","83","70",,"  340","  350",,"16.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-25","6.93",,"0.00",,"0.0","0.0","74","84","63",,"  230","  230",,"13.0","16.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-26","5.59",,"0.22",,"0.0","0.0","74","81","69",,"  240","  220",,"13.0","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-07-27","9.84",,"1.25",,"0.0","0.0","79","91","70",,"  270","  260",,"21.9","25.9",,,,,,,,
